,discipline,CoVer,SPMDIR,MUST,CoVer-MUST,SPMDIR-MUST
LocalConcurrency-mpi_iscatter-001.c,COLL,TP,TP,TP,TP,TP
Correct-mpi_bsend-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_bsend_init-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_ibsend-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_imrecv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_irecv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_irsend-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_isend-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_issend-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_mrecv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_precv_init-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_psend_init-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_recv-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_recv_init-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_rsend-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_rsend_init-001.c,P2P,TN,TN,TO,TO,TO
Correct-mpi_send-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_send_init-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_ssend-001.c,P2P,TN,TN,TN,TN,TN
Correct-mpi_ssend_init-001.c,P2P,TN,TN,TO,TO,TO
LocalConcurrency-receive-mpi_imrecv-001.c,P2P,TP,TP,FN,NC-TP,NC-TP
LocalConcurrency-receive-mpi_irecv-001.c,P2P,TP,TP,TP,TP,TP
LocalConcurrency-receive-mpi_precv_init-001.c,P2P,FN,TP,TO,TO,TO
LocalConcurrency-receive-mpi_recv_init-001.c,P2P,FN,TP,TP,FN,FN
LocalConcurrency-send-mpi_bsend_init-001.c,P2P,FN,TP,TO,TO,TO
LocalConcurrency-send-mpi_ibsend-001.c,P2P,TP,TP,TO,TO,TO
LocalConcurrency-send-mpi_irsend-001.c,P2P,TP,TP,TO,TO,TO
LocalConcurrency-send-mpi_isend-001.c,P2P,TP,TP,TP,TP,TP
LocalConcurrency-send-mpi_issend-001.c,P2P,TP,TP,TO,TO,TO
LocalConcurrency-send-mpi_psend_init-001.c,P2P,FN,TP,TO,TO,TO
LocalConcurrency-send-mpi_rsend_init-001.c,P2P,FN,TP,TO,TO,TO
LocalConcurrency-send-mpi_send_init-001.c,P2P,FN,TP,TP,FN,FN
LocalConcurrency-send-mpi_ssend_init-001.c,P2P,FN,TP,TO,TO,TO
